Year,Month,Store,Store_Type,Dept,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday,Total_Sales
2010,2,13,A,47,NA,NA,NA,NA,NA,true,124.97
2010,2,1,A,13,NA,NA,NA,NA,NA,true,36476.4
2010,2,2,A,23,NA,NA,NA,NA,NA,true,30285.16
2010,2,2,A,83,NA,NA,NA,NA,NA,true,8604.35
2011,2,3,B,29,NA,NA,NA,NA,NA,true,1813.75
2010,2,5,B,71,NA,NA,NA,NA,NA,true,448.0
2011,2,5,B,94,NA,NA,NA,NA,NA,true,326.48
2010,2,13,A,34,NA,NA,NA,NA,NA,true,21341.92
2010,2,13,A,93,NA,NA,NA,NA,NA,true,43259.13
2010,2,2,A,33,NA,NA,NA,NA,NA,true,8911.34
2011,2,4,A,82,NA,NA,NA,NA,NA,true,28853.26
2011,2,5,B,6,NA,NA,NA,NA,NA,true,808.1
2010,2,5,B,19,NA,NA,NA,NA,NA,true,46.43
2011,2,6,A,22,NA,NA,NA,NA,NA,true,19458.15
2010,2,7,B,29,NA,NA,NA,NA,NA,true,1604.0
2011,2,10,B,31,NA,NA,NA,NA,NA,true,5591.92
2011,2,11,A,41,NA,NA,NA,NA,NA,true,783.0
2011,2,12,B,24,NA,NA,NA,NA,NA,true,12571.96
2010,2,12,B,97,NA,NA,NA,NA,NA,true,2181.2
2011,2,13,A,50,NA,NA,NA,NA,NA,true,2785.0
2010,2,1,A,30,NA,NA,NA,NA,NA,true,5328.5
2011,2,2,A,59,NA,NA,NA,NA,NA,true,674.9
2010,2,3,B,32,NA,NA,NA,NA,NA,true,7313.39
2011,2,6,A,25,NA,NA,NA,NA,NA,true,9425.98
2011,2,7,B,59,NA,NA,NA,NA,NA,true,109.57
2010,2,7,B,80,NA,NA,NA,NA,NA,true,52.52
2011,2,9,B,27,NA,NA,NA,NA,NA,true,973.81
2010,2,10,B,51,NA,NA,NA,NA,NA,true,35.48
2011,2,12,B,6,NA,NA,NA,NA,NA,true,5965.64
2010,2,12,B,60,NA,NA,NA,NA,NA,true,475.2
2010,2,12,B,93,NA,NA,NA,NA,NA,true,364.03
2011,2,14,A,26,NA,NA,NA,NA,NA,true,12540.28
2010,2,2,A,55,NA,NA,NA,NA,NA,true,23829.76
2010,2,2,A,81,NA,NA,NA,NA,NA,true,33361.51
2011,2,4,A,92,NA,NA,NA,NA,NA,true,171158.16
2010,2,6,A,58,NA,NA,NA,NA,NA,true,3312.0
2010,2,7,B,8,NA,NA,NA,NA,NA,true,14716.32
2011,2,7,B,44,NA,NA,NA,NA,NA,true,3598.07
2010,2,8,A,3,NA,NA,NA,NA,NA,true,9871.73
2010,2,8,A,22,NA,NA,NA,NA,NA,true,7999.79
2011,2,10,B,44,NA,NA,NA,NA,NA,true,10676.84
2010,2,11,A,3,NA,NA,NA,NA,NA,true,14932.86
2011,2,2,A,2,NA,NA,NA,NA,NA,true,70619.64
2011,2,2,A,7,NA,NA,NA,NA,NA,true,28913.34
2010,2,2,A,49,NA,NA,NA,NA,NA,true,15567.51
2011,2,3,B,52,NA,NA,NA,NA,NA,true,799.01
2010,2,4,A,51,NA,NA,NA,NA,NA,true,5.0
2011,2,5,B,26,NA,NA,NA,NA,NA,true,1597.18
2010,2,6,A,21,NA,NA,NA,NA,NA,true,11716.16
2011,2,8,A,23,NA,NA,NA,NA,NA,true,14301.9
2010,2,8,A,83,NA,NA,NA,NA,NA,true,3462.05
2011,2,10,B,4,NA,NA,NA,NA,NA,true,52346.52
2010,2,10,B,12,NA,NA,NA,NA,NA,true,9375.25
2011,2,10,B,22,NA,NA,NA,NA,NA,true,31985.69
2010,2,10,B,32,NA,NA,NA,NA,NA,true,34342.88
2010,2,11,A,98,NA,NA,NA,NA,NA,true,16016.64
2011,2,12,B,32,NA,NA,NA,NA,NA,true,16028.98
2010,2,6,A,54,NA,NA,NA,NA,NA,true,429.97
2011,2,7,B,56,NA,NA,NA,NA,NA,true,465.82
2011,2,8,A,52,NA,NA,NA,NA,NA,true,2327.36
2011,2,9,B,11,NA,NA,NA,NA,NA,true,12511.01
2010,2,10,B,11,NA,NA,NA,NA,NA,true,31052.34
2010,2,12,B,2,NA,NA,NA,NA,NA,true,74171.01
2011,2,12,B,91,NA,NA,NA,NA,NA,true,6260.01
2011,2,1,A,40,NA,NA,NA,NA,NA,true,67392.25
2010,2,1,A,97,NA,NA,NA,NA,NA,true,33874.47
2011,2,3,B,94,NA,NA,NA,NA,NA,true,312.5
2011,2,4,A,42,NA,NA,NA,NA,NA,true,7324.55
2010,2,6,A,46,NA,NA,NA,NA,NA,true,26160.34
2011,2,6,A,79,NA,NA,NA,NA,NA,true,26771.64
2010,2,7,B,3,NA,NA,NA,NA,NA,true,7680.81
2010,2,8,A,42,NA,NA,NA,NA,NA,true,5625.03
2011,2,9,B,3,NA,NA,NA,NA,NA,true,5500.9
2010,2,9,B,14,NA,NA,NA,NA,NA,true,8004.04
2011,2,9,B,36,NA,NA,NA,NA,NA,true,237.5
2011,2,10,B,12,NA,NA,NA,NA,NA,true,9214.82
2010,2,10,B,91,NA,NA,NA,NA,NA,true,14371.53
2011,2,13,A,40,NA,NA,NA,NA,NA,true,81006.32
2011,2,13,A,85,NA,NA,NA,NA,NA,true,4449.92
2011,2,1,A,21,NA,NA,NA,NA,NA,true,8058.65
2010,2,2,A,4,NA,NA,NA,NA,NA,true,44197.95
2010,2,3,B,91,NA,NA,NA,NA,NA,true,145.43
2011,2,4,A,96,NA,NA,NA,NA,NA,true,36732.91
2011,2,8,A,95,NA,NA,NA,NA,NA,true,63169.15
2010,2,9,B,22,NA,NA,NA,NA,NA,true,6161.22
2010,2,11,A,35,NA,NA,NA,NA,NA,true,3266.96
2011,2,12,B,54,NA,NA,NA,NA,NA,true,214.94
2011,2,13,A,19,NA,NA,NA,NA,NA,true,3587.53
2010,2,13,A,81,NA,NA,NA,NA,NA,true,29406.4
2010,2,13,A,90,NA,NA,NA,NA,NA,true,104969.16
2011,2,14,A,40,NA,NA,NA,NA,NA,true,75619.08
2011,2,2,A,96,NA,NA,NA,NA,NA,true,35702.31
2011,2,3,B,38,NA,NA,NA,NA,NA,true,129054.64
2010,2,4,A,19,NA,NA,NA,NA,NA,true,4707.84
2010,2,5,B,51,NA,NA,NA,NA,NA,true,11.0
2010,2,5,B,58,NA,NA,NA,NA,NA,true,580.0
2010,2,10,B,13,NA,NA,NA,NA,NA,true,69145.42
2010,2,10,B,36,NA,NA,NA,NA,NA,true,2104.0
2010,2,11,A,85,NA,NA,NA,NA,NA,true,2159.26
2011,2,12,B,36,NA,NA,NA,NA,NA,true,476.0
2010,2,13,A,54,NA,NA,NA,NA,NA,true,185.0
2010,2,1,A,52,NA,NA,NA,NA,NA,true,2728.58
2011,2,4,A,41,NA,NA,NA,NA,NA,true,245.0
2011,2,11,A,6,NA,NA,NA,NA,NA,true,6596.31
2010,2,11,A,80,NA,NA,NA,NA,NA,true,14685.81
2010,2,12,B,36,NA,NA,NA,NA,NA,true,1015.0
2010,2,14,A,12,NA,NA,NA,NA,NA,true,3581.28
2011,2,2,A,8,NA,NA,NA,NA,NA,true,64270.54
2011,2,2,A,72,NA,NA,NA,NA,NA,true,122524.2
2010,2,3,B,67,NA,NA,NA,NA,NA,true,3670.03
2010,2,5,B,82,NA,NA,NA,NA,NA,true,3942.76
2011,2,6,A,52,NA,NA,NA,NA,NA,true,3702.82
2010,2,9,B,85,NA,NA,NA,NA,NA,true,475.91
2011,2,11,A,5,NA,NA,NA,NA,NA,true,43530.82
2011,2,11,A,28,NA,NA,NA,NA,NA,true,1058.6
2010,2,3,B,72,NA,NA,NA,NA,NA,true,37062.3
2010,2,5,B,41,NA,NA,NA,NA,NA,true,288.0
2011,2,6,A,13,NA,NA,NA,NA,NA,true,34929.08
2011,2,7,B,11,NA,NA,NA,NA,NA,true,17265.83
2011,2,9,B,94,NA,NA,NA,NA,NA,true,1141.71
2011,2,11,A,97,NA,NA,NA,NA,NA,true,17363.3
2010,2,12,B,72,NA,NA,NA,NA,NA,true,88822.93
2010,2,13,A,18,NA,NA,NA,NA,NA,true,27335.01
2010,2,13,A,83,NA,NA,NA,NA,NA,true,6031.2
2010,2,14,A,3,NA,NA,NA,NA,NA,true,10969.47
2010,2,1,A,23,NA,NA,NA,NA,NA,true,22812.41
2010,2,1,A,67,NA,NA,NA,NA,NA,true,17614.47
2010,2,2,A,67,NA,NA,NA,NA,NA,true,28717.28
2011,2,3,B,1,NA,NA,NA,NA,NA,true,11283.98
2010,2,5,B,34,NA,NA,NA,NA,NA,true,3485.0
2011,2,6,A,72,NA,NA,NA,NA,NA,true,99955.43
2011,2,6,A,95,NA,NA,NA,NA,NA,true,79953.48
2011,2,7,B,93,NA,NA,NA,NA,NA,true,1429.59
2010,2,10,B,30,NA,NA,NA,NA,NA,true,14404.71
2011,2,12,B,19,NA,NA,NA,NA,NA,true,2821.18
2011,2,1,A,30,NA,NA,NA,NA,NA,true,4234.14
2010,2,3,B,8,NA,NA,NA,NA,NA,true,8134.91
2011,2,3,B,19,NA,NA,NA,NA,NA,true,51.26
2011,2,4,A,14,NA,NA,NA,NA,NA,true,32187.23
2010,2,5,B,31,NA,NA,NA,NA,NA,true,732.0
2010,2,7,B,13,NA,NA,NA,NA,NA,true,13378.19
2010,2,9,B,18,NA,NA,NA,NA,NA,true,13587.5
2011,2,9,B,18,NA,NA,NA,NA,NA,true,8267.9
2011,2,10,B,14,NA,NA,NA,NA,NA,true,46464.25
2011,2,12,B,16,NA,NA,NA,NA,NA,true,4974.83
2011,2,13,A,90,NA,NA,NA,NA,NA,true,114002.72
2010,2,13,A,95,NA,NA,NA,NA,NA,true,126969.69
2010,2,3,B,40,NA,NA,NA,NA,NA,true,19494.21
2011,2,4,A,95,NA,NA,NA,NA,NA,true,140880.59
2010,2,8,A,29,NA,NA,NA,NA,NA,true,4875.24
2010,2,11,A,23,NA,NA,NA,NA,NA,true,39130.23
2010,2,11,A,24,NA,NA,NA,NA,NA,true,9782.41
2010,2,11,A,47,NA,NA,NA,NA,NA,true,74.0
2010,2,11,A,81,NA,NA,NA,NA,NA,true,13401.55
2011,2,1,A,54,NA,NA,NA,NA,NA,true,4.88
2010,2,2,A,12,NA,NA,NA,NA,NA,true,6507.63
2010,2,3,B,52,NA,NA,NA,NA,NA,true,1109.2
2010,2,4,A,33,NA,NA,NA,NA,NA,true,12786.93
2010,2,5,B,17,NA,NA,NA,NA,NA,true,2172.53
2010,2,6,A,34,NA,NA,NA,NA,NA,true,20148.55
2011,2,6,A,55,NA,NA,NA,NA,NA,true,16990.13
2011,2,7,B,1,NA,NA,NA,NA,NA,true,10605.06
2011,2,13,A,71,NA,NA,NA,NA,NA,true,13643.28
2011,2,2,A,14,NA,NA,NA,NA,NA,true,24718.91
2010,2,2,A,44,NA,NA,NA,NA,NA,true,8245.97
2011,2,2,A,81,NA,NA,NA,NA,NA,true,35716.49
2010,2,3,B,9,NA,NA,NA,NA,NA,true,4043.26
2011,2,3,B,36,NA,NA,NA,NA,NA,true,326.0
2010,2,4,A,44,NA,NA,NA,NA,NA,true,6408.56
2010,2,5,B,38,NA,NA,NA,NA,NA,true,48204.05
2010,2,8,A,1,NA,NA,NA,NA,NA,true,34262.09
2011,2,8,A,18,NA,NA,NA,NA,NA,true,12948.35
2010,2,8,A,21,NA,NA,NA,NA,NA,true,6992.02
2010,2,8,A,32,NA,NA,NA,NA,NA,true,9994.99
2010,2,8,A,55,NA,NA,NA,NA,NA,true,12512.34
2010,2,9,B,30,NA,NA,NA,NA,NA,true,1642.5
2011,2,10,B,93,NA,NA,NA,NA,NA,true,1778.29
2011,2,11,A,10,NA,NA,NA,NA,NA,true,24610.89
2011,2,11,A,37,NA,NA,NA,NA,NA,true,4498.12
2011,2,11,A,71,NA,NA,NA,NA,NA,true,12600.14
2010,2,13,A,7,NA,NA,NA,NA,NA,true,42860.17
2010,2,1,A,54,NA,NA,NA,NA,NA,true,383.0
2010,2,2,A,91,NA,NA,NA,NA,NA,true,92680.72
2011,2,4,A,11,NA,NA,NA,NA,NA,true,24142.13
2010,2,4,A,23,NA,NA,NA,NA,NA,true,46049.34
2010,2,4,A,28,NA,NA,NA,NA,NA,true,1098.87
2010,2,6,A,27,NA,NA,NA,NA,NA,true,2389.5
2010,2,8,A,7,NA,NA,NA,NA,NA,true,16800.35
2011,2,8,A,8,NA,NA,NA,NA,NA,true,26591.15
2011,2,8,A,41,NA,NA,NA,NA,NA,true,1598.0
2010,2,10,B,96,NA,NA,NA,NA,NA,true,9385.66
2010,2,12,B,19,NA,NA,NA,NA,NA,true,3159.33
2011,2,12,B,82,NA,NA,NA,NA,NA,true,15947.69
2011,2,1,A,27,NA,NA,NA,NA,NA,true,1643.21
2010,2,4,A,24,NA,NA,NA,NA,NA,true,10783.25
2010,2,6,A,42,NA,NA,NA,NA,NA,true,7983.04
2010,2,7,B,17,NA,NA,NA,NA,NA,true,5701.65
2010,2,9,B,3,NA,NA,NA,NA,NA,true,6237.84
2011,2,9,B,29,NA,NA,NA,NA,NA,true,2413.95
2011,2,2,A,11,NA,NA,NA,NA,NA,true,19333.28
2011,2,2,A,34,NA,NA,NA,NA,NA,true,17176.94
2011,2,4,A,2,NA,NA,NA,NA,NA,true,95467.6
2010,2,4,A,12,NA,NA,NA,NA,NA,true,6688.85
2011,2,4,A,48,NA,NA,NA,NA,NA,true,2157.0
2011,2,5,B,10,NA,NA,NA,NA,NA,true,8576.33
2010,2,11,A,26,NA,NA,NA,NA,NA,true,14598.5
2011,2,11,A,55,NA,NA,NA,NA,NA,true,15138.06
2011,2,13,A,6,NA,NA,NA,NA,NA,true,6544.11
2011,2,2,A,30,NA,NA,NA,NA,NA,true,6788.78
2011,2,3,B,33,NA,NA,NA,NA,NA,true,3338.39
2010,2,4,A,40,NA,NA,NA,NA,NA,true,82453.2
2010,2,5,B,3,NA,NA,NA,NA,NA,true,3661.66
2010,2,6,A,44,NA,NA,NA,NA,NA,true,7161.91
2010,2,7,B,23,NA,NA,NA,NA,NA,true,16660.66
2011,2,10,B,30,NA,NA,NA,NA,NA,true,15389.7
2010,2,10,B,34,NA,NA,NA,NA,NA,true,47864.29
2010,2,10,B,93,NA,NA,NA,NA,NA,true,1482.82
2011,2,13,A,5,NA,NA,NA,NA,NA,true,58985.98
2010,2,13,A,23,NA,NA,NA,NA,NA,true,28268.78
2010,2,13,A,94,NA,NA,NA,NA,NA,true,73423.15
2011,2,14,A,29,NA,NA,NA,NA,NA,true,10420.41
2010,2,3,B,5,NA,NA,NA,NA,NA,true,12981.72
2011,2,3,B,91,NA,NA,NA,NA,NA,true,65.04
2010,2,4,A,6,NA,NA,NA,NA,NA,true,9609.3
2010,2,4,A,9,NA,NA,NA,NA,NA,true,23199.13
2010,2,5,B,81,NA,NA,NA,NA,NA,true,1943.14
2010,2,6,A,85,NA,NA,NA,NA,NA,true,3589.03
2011,2,9,B,10,NA,NA,NA,NA,NA,true,12505.31
2011,2,10,B,24,NA,NA,NA,NA,NA,true,15258.51
2010,2,10,B,33,NA,NA,NA,NA,NA,true,15749.33
2010,2,11,A,71,NA,NA,NA,NA,NA,true,16165.72
2010,2,12,B,23,NA,NA,NA,NA,NA,true,41372.21
2010,2,12,B,24,NA,NA,NA,NA,NA,true,13290.67
2011,2,12,B,27,NA,NA,NA,NA,NA,true,2615.95
2011,2,13,A,83,NA,NA,NA,NA,NA,true,6521.94
2010,2,14,A,11,NA,NA,NA,NA,NA,true,15751.63
2010,2,4,A,7,NA,NA,NA,NA,NA,true,37175.62
2010,2,4,A,30,NA,NA,NA,NA,NA,true,8758.0
2011,2,5,B,1,NA,NA,NA,NA,NA,true,13407.55
2010,2,7,B,1,NA,NA,NA,NA,NA,true,14026.65
2010,2,7,B,25,NA,NA,NA,NA,NA,true,6597.5
2011,2,8,A,4,NA,NA,NA,NA,NA,true,20834.96
2011,2,10,B,28,NA,NA,NA,NA,NA,true,1662.61
2011,2,10,B,40,NA,NA,NA,NA,NA,true,114882.51
2011,2,10,B,87,NA,NA,NA,NA,NA,true,27777.66
2010,2,2,A,40,NA,NA,NA,NA,NA,true,80924.71
2011,2,2,A,80,NA,NA,NA,NA,NA,true,29823.06
2010,2,6,A,29,NA,NA,NA,NA,NA,true,8445.2
2011,2,7,B,41,NA,NA,NA,NA,NA,true,1371.35
2010,2,9,B,10,NA,NA,NA,NA,NA,true,11958.7
2011,2,9,B,31,NA,NA,NA,NA,NA,true,1300.69
2011,2,12,B,59,NA,NA,NA,NA,NA,true,716.62
2010,2,13,A,17,NA,NA,NA,NA,NA,true,21524.01
2011,2,14,A,12,NA,NA,NA,NA,NA,true,3813.07
2011,2,2,A,56,NA,NA,NA,NA,NA,true,2104.49
2011,2,3,B,27,NA,NA,NA,NA,NA,true,765.01
2010,2,5,B,5,NA,NA,NA,NA,NA,true,9035.23
2011,2,5,B,14,NA,NA,NA,NA,NA,true,4297.95
2011,2,6,A,37,NA,NA,NA,NA,NA,true,3565.96
2011,2,8,A,20,NA,NA,NA,NA,NA,true,4313.2
2010,2,9,B,2,NA,NA,NA,NA,NA,true,22488.29
2010,2,9,B,7,NA,NA,NA,NA,NA,true,10170.54
2010,2,11,A,34,NA,NA,NA,NA,NA,true,29052.79
2011,2,13,A,8,NA,NA,NA,NA,NA,true,36614.82
2011,2,13,A,42,NA,NA,NA,NA,NA,true,8003.37
2010,2,2,A,3,NA,NA,NA,NA,NA,true,13821.01
2011,2,3,B,59,NA,NA,NA,NA,NA,true,89.81
2010,2,5,B,36,NA,NA,NA,NA,NA,true,513.0
2011,2,5,B,52,NA,NA,NA,NA,NA,true,397.08
2011,2,7,B,10,NA,NA,NA,NA,NA,true,26067.47
2010,2,7,B,42,NA,NA,NA,NA,NA,true,5361.92
2010,2,10,B,72,NA,NA,NA,NA,NA,true,202622.42
2010,2,10,B,90,NA,NA,NA,NA,NA,true,16145.65
2010,2,13,A,92,NA,NA,NA,NA,NA,true,153435.29
2010,2,14,A,18,NA,NA,NA,NA,NA,true,14760.45
2011,2,6,A,98,NA,NA,NA,NA,NA,true,10624.5
2010,2,8,A,36,NA,NA,NA,NA,NA,true,498.5
2011,2,9,B,25,NA,NA,NA,NA,NA,true,10129.19
2011,2,9,B,85,NA,NA,NA,NA,NA,true,826.47
2011,2,10,B,34,NA,NA,NA,NA,NA,true,42977.03
2010,2,2,A,30,NA,NA,NA,NA,NA,true,6753.0
2011,2,3,B,24,NA,NA,NA,NA,NA,true,3171.08
2011,2,5,B,40,NA,NA,NA,NA,NA,true,23968.31
2010,2,7,B,16,NA,NA,NA,NA,NA,true,4071.71
2011,2,8,A,54,NA,NA,NA,NA,NA,true,50.0
2011,2,11,A,83,NA,NA,NA,NA,NA,true,3766.2
2011,2,11,A,93,NA,NA,NA,NA,NA,true,33810.88
2011,2,12,B,5,NA,NA,NA,NA,NA,true,30374.43
2011,2,12,B,20,NA,NA,NA,NA,NA,true,7484.81
2010,2,12,B,45,NA,NA,NA,NA,NA,true,35.8
2010,2,2,A,85,NA,NA,NA,NA,NA,true,4784.26
2011,2,4,A,13,NA,NA,NA,NA,NA,true,68007.58
2010,2,6,A,4,NA,NA,NA,NA,NA,true,30612.26
2010,2,7,B,5,NA,NA,NA,NA,NA,true,17893.63
2011,2,10,B,95,NA,NA,NA,NA,NA,true,75341.84
2011,2,11,A,14,NA,NA,NA,NA,NA,true,27531.57
2010,2,11,A,21,NA,NA,NA,NA,NA,true,9154.05
